ticker,chi_name
931048.CSI,证保AH(HKD)
931049.CSI,能源AH(HKD)
931050.CSI,央企AH(HKD)
931051.CSI,国企AH(HKD)
931052.CSI,国信价值
931053.CSI,高股息策略
931054.CSI,财务稳健
931055.CSI,稳健低波
931056.CSI,红利增长
931057.CSI,股权激励
931058.CSI,竞争优势
931062.CSI,质量低波
931063.CSI,创始经营
931065.CSI,财通浙30
931066.CSI,军工龙头
931067.CSI,绩优策略
931068.CSI,消费龙头
931069.CSI,中金300
931070.CSI,中金100
931071.CSI,人工智能
931079.CSI,5G通信
931081.CSI,中证半导
931086.CSI,MG新经济AUD
931087.CSI,科技龙头
931089.CSI,180ESG
931123.CSI,蓝天环境改善(CNY)
931124.CSI,蓝天环境改善(HKD)
931125.CSI,蓝天环境改善(USD)
931126.CSI,蓝天环境改善(EUR)
931129.CSI,盈利估值
931130.CSI,红利成长低波
931133.CSI,经济蓝筹
931134.CSI,AH经济蓝筹(CNY)
931135.CSI,AH经济蓝筹(HKD)
931136.CSI,深圳科技(CNY)
931137.CSI,深圳科技(HKD)
931138.CSI,高息低波
931139.CSI,CS消费50
931140.CSI,医药50
931141.CSI,CS长三角
931142.CSI,东证竞争
931148.CSI,ESG80
931149.CSI,环境质量
931150.CSI,绿色质量
931151.CSI,光伏产业
931152.CSI,CS创新药
931155.CSI,300质量
931156.CSI,800质量
931157.CSI,SHS红利成长LV(人民币)
931158.CSI,SHS红利成长LV(港币)
931160.CSI,中证全指通信设备
931163.CSI,浙江100
931165.CSI,新兴科技100
931166.CSI,医药健康100
931167.CSI,先进制造100
931170.CSI,民企龙头
950070.CSI,上证汽车
950071.CSI,上证基建
